id,craft time,class,*,name
1,0:50,HG,4,Colt Revolver
2,0:20,HG,2,M1911
3,0:40,HG,3,M9
4,,HG,5,Python
5,0:20,HG,2,Nagant Revolver
6,0:45,HG,3,Tokarev
7,0:55,HG,4,Stechkin
8,0:40,HG,3,Makarov
9,0:20,HG,2,P38
10,0:22,HG,2,PPK
11,0:30,HG,3,P08
12,0:30,HG,3,C96
13,0:35,HG,3,Type 92
14,0:40,HG,3,Astra Revolver
15,,HG,3,Glock 17
16,2:30,SMG,5,Thompson
17,1:30,SMG,2,M3
18,2:00,SMG,3,MAC-10
19,,SMG,3,FMG-9
20,2:35,SMG,5,Vector
21,1:50,SMG,2,PPSh-41
22,2:10,SMG,3,PPS-43
23,2:20,SMG,4,PP-90
24,1:10,SMG,2,PP-2000
25,1:30,SMG,2,MP40
26,2:20,SMG,4,MP5
27,2:00,SMG,3,Skorpion
28,2:18,SMG,5,MP7
29,1:40,SMG,3,Sten MkII
30
31,1:30,SMG,2,Beretta Model 38
32,1:40,SMG,3,Micro Uzi
33,1:20,SMG,2,m45
34,4:00,RF,3,M1 Garand
35,,RF,3,M1A1
36,4:25,RF,4,Springfield
37,3:40,RF,3,M14
38,,RF,3,M21
39,4:10,RF,4,Mosin-Nagant
40,3:30,RF,2,SVT-38
41,3:30,RF,2,Simonov
42,4:30,RF,4,PTRD
43,4:15,RF,4,SVD
44,3:40,RF,3,SV-98
45
46,4:40,RF,5,Kar98k
47,3:10,RF,2,G43
48,4:50,RF,5,WA2000
49,,RF,3,Type 56
50,5:00,RF,5,Lee-Enfield
51,3:10,RF,2,FN-49
52,3:20,RF,2,BM59
53,4:45,RF,5,NTW-20
54,,AR,4,M16A1
55,,AR,4,M4A1
56,,AR,4,M4 SOPMOD II
57,,AR,4,ST AR-15
58,3:20,AR,3,AK-47
59,,SMG,5,AK-74U
60,3:30,AR,4,AS Val
61,3:00,AR,3,StG44
62,4:05,AR,5,G41
63,2:50,AR,2,G3
64,3:40,AR,4,G36
65,3:55,AR,5,HK416
66,3:25,AR,4,Type 56-1
67
68,2:50,AR,2,L85A1
69,3:30,AR,4,FAMAS
70,3:20,AR,3,FNC
71,2:40,AR,2,Galil
72,3:30,AR,4,TAR-21
73,,AR,5,AUG
74,2:40,AR,2,SIG-510
75,6:25,MG,4,M1918
76
77,6:10,MG,3,M2HB
78,6:10,MG,4,M60
79,,MG,3,M249 SAW
80,5:40,MG,3,M1919A4
81,5:10,MG,2,LWMMG
82,5:00,MG,2,DP28
83
84,,MG,3,RPD
85,6:30,MG,4,PK
86,5:50,MG,3,MG42
87,5:00,MG,2,MG34
88,6:30,MG,4,MG3
89,5:20,MG,3,Bren
90,0:25,HG,2,FNP-9
91,0:25,HG,2,MP-446
92,1:20,SMG,2,Spectre M4
93,1:10,SMG,2,IDW
94,1:25,SMG,2,Type 64
95,3:50,RF,3,Hanyang Type 88
96,1:10,HG,5,Grizzly MkV
97,1:05,HG,5,M950A
98,,HG,4,SPP-1
99,0:50,HG,4,Mk23
100,0:55,HG,4,P7
101,2:15,SMG,4,UMP9
102,,SMG,4,UMP40
103,2:15,SMG,4,UMP45
104,2:30,SMG,5,G36C
105,3:10,AR,3,OTs-12
106,3:45,AR,5,FAL
107,2:45,AR,2,F2000
108,,AR,3,CZ-805
109,6:45,MG,5,MG5
110,4:50,MG,2,FG42
111,4:50,MG,2,AAT-52
112,6:35,MG,5,Negev
113,,HG,3,Serdyukov
114,1:00,HG,5,Welrod MkII
115,2:25,SMG,5,Suomi
116,2:05,SMG,3,Z-62
117,4:20,RF,4,PSG-1
118,3:35,AR,4,9A-91
119,,AR,5,OTs-14
120,3:15,AR,3,ARX-160
121,6:20,MG,4,Mk48
122,4:04,AR,5,G11
123,0:35,HG,3,P99
124,,RF,3,Super SASS
125,6:40,MG,5,MG4
126,1:05,HG,5,NZ75
127,2:35,SMG,5,Type 79
128,4:55,RF,5,M99
129,3:50,AR,5,Type 95
130,3:50,AR,5,Type 97
131,,SMG,3,EVO 3
132,,HG,3,Type 59
133,2:45,AR,2,Type 63
134,,AR,3,AR70
135,2:33,SMG,5,SR-3MP
136,,SMG,4,PP-19
137,2:18,SMG,4,PP-19-01
138,,AR,3,6P62
139,0:28,HG,2,Bren Ten
140,,HG,3,PSM
141,0:28,HG,2,USP Compact
142,,HG,5,Five-seveN
143,,SMG,5,RO635
144,,SMG,3,MT-9
145,3:50,RF,3,OTs-44
146,4:20,RF,4,G28
147,,RF,3,SSG 69
148,4:52,RF,5,IWS-2000
149,6:20,MG,4,AEK-999
150,2:18,SMG,4,Shipka
151,,SG,5,M1887
152,7:30,SG,3,M1897
153,7:45,SG,4,M37
154,7:20,SG,3,M500
155,7:40,SG,4,M590
156,7:50,SG,4,Super-Shorty
157,8:00,SG,5,KSG
158,7:25,SG,3,KS-23
159,7:30,SG,3,RMB-93
160,8:05,SG,5,Saiga-12
161,,SG,4,Type97S
162,7:40,SG,4,SPAS-12
163,8:12,SG,5,AA-12
164,8:06,SG,5,FP-6
165,7:14,SG,4,M1014
166,,HG,5,CZ75
167,,HG,3,HK45
168,0:52,HG,4,Spitfire
169,,SMG,3,SCW
170,,AR,3,ASh-12.7
171,3:40,AR,4,Ribeyrolles
172,3:58,AR,5,Am RFB
173,6:50,MG,5,PKP
174,,RF,3,Type 81 Carbine
175,,AR,5,ART556
176,,SMG,3,TMP
177,,SMG,4,KLIN
178,1:50,SMG,3,F1
179,,RF,5,DSR-50
180,4:30,RF,4,PzB 39
181,3:48,AR,5,T91
182,,RF,3,wz.29
183,1:02,HG,5,Contender
184,4:10,RF,4,T-5000
185,6:25,MG,4,Ameli
186,,HG,3,P226
187,,AR,4,Ak 5
188,8:10,SG,5,S.A.T.8
189,7:55,SG,4,USAS-12
190,7:15,SG,3,NS2000
191,,SMG,3,M12
192,,RF,5,JS05
193,,AR,3,T65
194,3:52,AR,5,K2
195,,MG,3,HK23
196,4:05,AR,5,Zas M21
197,4:38,RF,5,Carcano M1891
198,4:42,RF,5,Carcano M91∕38
199,6:15,MG,4,Type 80
200,,RF,4,XM3
201,,RF,3,Gepard M1
202,,HG,4,Thunder
203,,SMG,4,Honey Badger
204,,RF,5,Ballista
205,4:09,AR,5,AN-94
206,4:12,AR,5,AK-12
207,,AR,4,CZ2000
208,,MG,5,HK21
209,,SMG,3,OTs-39
210,,HG,3,CZ52
211,,RF,5,SRS
212,0:53,HG,4,K5
213,2:28,SMG,5,C-MS
214,3:55,AR,5,ADS
215,3:53,AR,5,MDR
216,3:25,AR,4,XM8
217,,RF,3,SM-1
218,,SMG,3,T77
219
220,,HG,3,MP-443
221,,HG,3,GSh-18
222,,RF,5,TAC-50
223,,AR,3,Model L
224,,SMG,5,PM-06
225,,SMG,4,Cx4 Storm 
226,,RF,4,Mk 12
227,,AR,4,A-91
228,2:19,SMG,5,Type 100
229,,SG,5,M870
230,,RF,3,OBR
231,,RF,5,M82A1
232,,HG,3,MP-448
233,1:04,HG,5,Px4 Storm
234,,SMG,5,JS 9
235,4:15,RF,4,SPR A3G
236,4:11,AR,5,K11
237,3:25,AR,4,SAR-21
238,6:28,MG,5,Type 88
239,,AR,3,Type 03
240,,MG,4,Mk46
241,,RF,3,RT-20
242,,HG,5,P22
243,4:06,AR,5,Howa Type 64
244,,HG,3,TEC-9
245,2:29,SMG,5,P90
246
247,4:15,RF,4,K31
248,0:49,HG,4,Jericho
249,,MG,3,Type 62
250,,HG,5,HS2000
251,,SMG,5,X95
252,,RF,4,KSVK
253,,MG,5,Lewis Gun
254,,MG,4,UKM-2000
255,,RF,3,Steyr Scout
256,,RF,3,Falcon
257,4:32,RF,5,M200
258,,AR,3,Magal
259,,SMG,5,PM-9
260,1:15,HG,5,PA-15
261,4:48,RF,5,QBU-88
262,3:35,AR,4,EM-2
263,6:36,MG,5,MG36
