id,name
1,SAA
2,M1911
3,M9
4,Python
5,M1895
6,Tokarev
7,Stechkin
8,Makarov
9,P38
10,PPK
11,P08
12,C96
13,Type92
14,Astra
15,G17
16,Thompson
17,M3
18,Ingram
19,FMG-9
20,Vector
21,PPSh-41
22,PPS-43
23,PP-90
24,PP-2000
25,MP40
26,Gr MP5
27,Skorpion
28,Gr MP7
29,STEN MkII
30
31,M38
32,Micro Uzi
33,m45
34,M1 Garand
35,M1A1
36,Springfield
37,M14
38,M21
39,Mosin-Nagant
40,SVT-38
41,SKS
42,PTRD
43,SVD
44,SV-98
45
46,Kar98k
47,G43
48,WA2000
49,Type56R
50,Lee Enfield
51,FF FN49
52,VM59
53,NTW-20
54,M16A1
55,M4A1
56,M4 SOPMOD II
57,ST AR-15
58,AK-47
59,AK-74U
60,AS Val
61,StG44
62,Gr G41
63,Gr G3
64,Gr G36
65,416
66,Type56-1
67
68,L85A1
69,Fr FAMAS
70,FF FNC
71,Galil
72,TAR-21
73,AUG
74,SIG-510
75,M1918
76
77,M2HB
78,M60
79,FF M249SAW
80,M1919A4
81,LWMMG
82,DP28
83
84,RPD
85,PK
86,MG42
87,MG34
88,MG3
89,Bren
90,FF FNP9
91,MP-446
92,Spectre M4
93,IDW
94,Type64
95,Type88
96,Grizzly
97,M950A
98,SPP-1
99,Gr Mk23
100,P7
101,UMP9
102,UMP40
103,UMP45
104,Gr G36c
105,OTs-12
106,FAL
107,FF F2000
108,CZ-805
109,Gr MG5
110,FG42
111,AAT-52
112,Negev
113,Serdyukov
114,Welrod MkII
115,Suomi
116,Z-62
117,Gr PSG-1
118,9A-91
119,OTs-14
120,ARX-160
121,Mk48
122,Gr G11
123,P99
124,Super SASS
125,Gr MG4
126,NZ75
127,Type79
128,M99
129,Type95
130,Type97
131,EVO 3
132,Type59
133,Type63
134,AR70
135,SR-3MP
136,PP-19
137,PP-19-01
138,6P62
139,Bren Ten
140,PSM
141,Gr USPCompact
142,Five-seven
143,RO635
144,MT-9
145,OTs-44
146,Gr G28
147,SSG 69
148,IWS 2000
149,AEK-999
150,Shipka
151,M1887
152,M1897
153,M37
154,M500
155,M590
156,Super-Shorty
157,Am KSG
158,KS-23
159,RMB-93
160,Saiga-12
161,Type97S
162,SPAS-12
163,AA-12
164,FP-6
165,M1014
166,CZ75
167,Gr HK45
168,Spitfire
169,SCW
170,ASh-12.7
171,Ribeyrolles
172,Am RFB
173,PKP
174,Type81R
175,ART556
176,TMP
177,KLIN
178,F1
179,Gd DSR-50
180,PzB39
181,T91
182,wz.29
183,Contender
184,T-5000
185,Ameli
186,P226
187,Ak 5
188,S.A.T.8
189,USAS-12
190,NS2000
191,M12
192,JS05
193,T65
194,K2
195,Gr MG23
196,Zas M21
197,Carcano M1891
198,Carcano M91/38
199,Type 80
200,XM3
201,Gepard M1
202,Thunder
203,Honey Badger
204,Ballista
205,AN-94
206,AK-12
207,CZ2000
208,HMG21
209,OTs-39
210,CZ52
211,SRS
212,K5
213,C-MS
214,ADS
215,MDR
216,XM8
217,SM-1
218,T77
219
220,MP-443
221,GSh-18
222,TAC-50
223,Model L
224,PM-06
225,Cx4 Storm
226,Mk 12
227,A-91
228,100 Shiki
229,M870
230,OBR
231,M82A1
232,MP-448
233,Px4 Storm
234,JS 9
235,SPR A3G
236,K11
237,SAR-21
238,QJY-88
239,Type03
240,Mk46
241,RT-20
242,P22
243,64 Shiki
244,TEC-9
245,P90
246
247,K31
248,Jericho
249,62 Shiki
250,HS2000
251,X95
252,KSVK
253,Lewis
254,UKM-2000
255,Scout
256,Falcon
257,M200
258,Magal
259,PM-9
260,PA-15
261,QBU-88
262,EM-2
263,Gr MG36
264,Chauchat
265,Gr HK33
266,R93
267,MP41
268,T-CMS
269,Gr P30
270,4 Shiki
271,K3
272,Desert Eagle
273,SSG3000
274,ACR
275,M1895 CB
276,Kord
277,Gr VP70
278,Six12
279,INSAS
280,MAT-49
281,CAWS
282,DP-12
283,Liberator
284,Zas M76
285,C-93
286,K-PDW
287,SIG-556
288,CR-21
289,R5
290,89 Shiki
291,43M
292,RPK-16
293,AK-15
294,Webley
295,CF-05
296,Gr SL8
297,FI M82
298,Vepr
299,HSM10
300,CAR
301,MAS-38
302,Defender
303,HP-35
304,SAF
305,Tabuk
306,AK-Alfa
307,ZB-26
308,C14
309,WKp
310,Rex Zero 1
311,Lusa
312,VSK-94
313,S-ACR
314,StG-940
315,AUG Para
316,General Liu
317,Mondragon M1908
318,VHS
319,PM1910
320,GM6 Lynx
321,TS12
322,QSB-91
323,LTLX7000
324,M6 ASW
325,PM5
326,512
327,SUB-2000
328,AR-57
329,SVCh
330,FX-05
331,Kolibri
332,Derringer
333,VP1915
334,Model 99
335,Fedorov Avtomat
336,PPD-40
337,De Lisle
338,SIG MCX
339,RPK-203
340,TKB-408
341,SP9
342,KH2002
343,APC556
344,FARA 83
345,MG338
346,CZ 100
347,SR-2
348,HS.50
349,AK-74M
350,FO-12
351,M26-MASS
352,Nova
353,MAG-7
354,ZiP .22
355,Vigneron M2
356,A-545
357,Rhino
358,PPQ
359,Sterling
360,TFQ
361,QBZ-191
362,LS26
363,MPL
364,MPK
365,SCR
366,SPAS-15
367,MK3A1
368,UTS-15
369,M327
370,P290
371,Saiga 308
372,AR-18
373,CMR-30
374,M240L
375,Colt Walker
376,Erma
377,SCAR-H
378,SCAR-L
379,P10C
380,APC9K
381,M110
382,MSBS
383,VP9
384,Jatimatic
385,VRB
386,LAMG
387,TPS
388,QBU-191
389,Boys AT Rifle
390,433
391,Type 82
392,Owen
393,Beowulf
394,CM901
395,FM24
396,MG15
397,Stevens M520
398,Stevens M620
399,P2000
400,Colt M1851N
401,P50
402,Martini-Henry
403,SIG CROSS
404,Mk.18
405,SIG M400
406,XM556
407,HTI
